0,1,2,3
6 gorillion,English,1 sighting,Highly offensive
abbo  (variant of abo),English,-,Extremely offensive
abbos  (plural of abbo),English,109 sightings (Recent),Extremely offensive
ABC,English,1 sighting,Mildly offensive
ABCD,English,-,Mildly offensive
ABCDs  (plural of ABCD),English,-,Mildly offensive
ABCs  (plural of ABC),English,2 sightings,Mildly offensive
abo,English,-,Highly offensive
abos  (plural of abo),English,82 sightings (Recent),Highly offensive
af,English,-,Extremely offensive
African catfish,English,72 sightings (Recent),Extremely offensive
African catfishes  (plural of African catfish),English,16 sightings (Recent),-
african't,English,-,Highly offensive
african'ts  (plural of african't),English,-,Highly offensive
Africoon,English,194 sightings (Recent),Extremely offensive
Africoons  (plural of Africoon),English,792 sightings (Recent),Extremely offensive
Afro-Saxon,English,110 sightings (Recent),Mildly offensive
Afro-Saxons  (plural of Afro-Saxon),English,276 sightings (Recent),Mildly offensive
afs  (plural of af),English,-,Extremely offensive
Ahab,English,-,Highly offensive
Ahabs  (plural of Ahab),English,-,Highly offensive
albino,English,1 sighting,Mildly offensive
albinos  (plural of albino),English,-,-
albo,English,-,-
alboes  (variant of albos)  (plural of albo),English,-,-
albos  (plural of albo),English,-,-
alligator bait,English,751 sightings (Recent),Highly offensive
Americoon,English,54 sightings (Recent),Extremely offensive
Americoons  (plural of Americoon),English,242 sightings (Recent),-
AmeriKKKan,English,312 sightings (Recent),Mildly offensive
Amo,English,15 sightings (Recent),Mildly offensive
Amos  (plural of Amo),English,-,Moderately offensive
anchor babies  (plural of anchor baby),English,"2,726 sightings (Recent)",Moderately offensive
anchor baby,English,"1,586 sightings (Recent)",Highly offensive
Angie,English,-,Mildly offensive
Angies  (plural of Angie),English,-,-
Anglo,English,-,Mildly offensive
Anglo Fool,English,-,Moderately offensive
Anglos  (plural of Anglo),English,493 sightings (Recent),-
Ann,English,-,Mildly offensive
Annies  (plural of Ann),English,-,Mildly offensive
Anns  (plural of Ann),English,-,Moderately offensive
ape,English,1 sighting,Extremely offensive
apes  (plural of ape),English,-,Extremely offensive
apple,English,-,Highly offensive
apples  (plural of apple),English,-,-
Argie,English,317 sightings (Recent),Mildly offensive
Argies  (plural of Argie),English,496 sightings (Recent),-
Armo,English,8 sightings,Moderately offensive
Armos  (plural of Armo),English,247 sightings (Recent),-
ars  (transliteration of ערס‎ `ars),English,-,Moderately offensive
arsim  (plural of ars),English,102 sightings (Recent),-
arsit  (variant of ars),English,16 sightings (Recent),-
Aunt Jane  (variant of Aunt Jemima),English,-,Mildly offensive
Aunt Janes  (plural of Aunt Jane),English,17 sightings,Mildly offensive
Aunt Jemima,English,1 sighting,Mildly offensive
Aunt Jemimas  (plural of Aunt Jemima),English,305 sightings (Recent),Moderately offensive
Aunt Mary  (variant of Aunt Jemima),English,-,Moderately offensive
Aunt Marys  (plural of Aunt Mary),English,20 sightings (Recent),Moderately offensive
Aunt Sally  (variant of Aunt Jemima),English,-,-
Aunt Sallys  (plural of Aunt Sally),English,26 sightings (Recent),-
azn,English,-,Mildly offensive
azns  (plural of azn),English,412 sightings (Recent),-
bamboo coon,English,11 sightings,Extremely offensive
bamboo coons  (plural of bamboo coon),English,1 sighting,-
ban and can  (variant of bans and cans),English,-,-
banana,English,-,Highly offensive
banana bender,English,443 sightings (Recent),Mildly offensive
banana benders  (plural of banana bender),English,492 sightings (Recent),Mildly offensive
banana lander  (variant of banana bender),English,1 sighting,Mildly offensive
banana landers  (plural of banana lander),English,-,-
bananas  (plural of banana),English,-,-
banislam,English,-,-
banjo lips,English,30 sightings,Extremely offensive
bans and cans,English,1 sighting,Moderately offensive
batiman  (variant of batty boy),English,140 sightings (Recent),-
batimen  (plural of batiman),English,9 sightings,-
batty boy,English,"1,210 sightings (Recent)",-
batty boys  (plural of batty boy),English,770 sightings (Recent),-
batty bwoy  (variant of batty boy),English,588 sightings (Recent),-
batty bwoys  (plural of batty bwoy),English,81 sightings (Recent),-
batty man  (variant of batty boy),English,780 sightings (Recent),-
batty men  (plural of batty man),English,135 sightings (Recent),-
battyman  (variant of batty boy),English,"1,209 sightings (Recent)",-
battymen  (plural of battyman),English,257 sightings (Recent),-
beach nigger,English,23 sightings,Highly offensive
beach niggers  (plural of beach nigger),English,3 sightings,-
bean bandit,English,77 sightings (Recent),Highly offensive
bean bandits  (plural of bean bandit),English,21 sightings,Highly offensive
bean dipper,English,14 sightings,Moderately offensive
bean dippers  (plural of bean dipper),English,2 sightings,Mildly offensive
beaner,English,"1,659 sightings (Recent)",Highly offensive
beaner babies  (variant of anchor baby),English,118 sightings (Recent),Extremely offensive
beaner baby  (variant of anchor babies),English,220 sightings (Recent),Extremely offensive
beaner shnitzel,English,1 sighting (Recent),Extremely offensive
beaner shnitzels  (plural of beaner shnitzel),English,-,-
beaners  (plural of beaner),English,"1,623 sightings (Recent)",Extremely offensive
beaney  (variant of beaner),English,-,Highly offensive
beanies  (plural of beaney),English,-,-
Beckies  (plural of Becky),English,-,-
Becky,English,-,-
Beckys  (plural of Becky),English,-,-
Bengali,English,-,Mildly offensive
Bengalis  (plural of Bengali),English,-,Mildly offensive
bhrempti,English,-,Mildly offensive
bhremptis  (plural of bhrempti),English,-,-
Bihari,English,-,Moderately offensive
Biharis  (plural of Bihari),English,-,Moderately offensive
bimbo,English,356 sightings (Recent),Mildly offensive
bint  (variant of bitch),English,300 sightings (Recent),Mildly offensive
bints  (plural of bint),English,918 sightings (Recent),Mildly offensive
bird,English,-,Mildly offensive
birds  (plural of bird),English,-,Mildly offensive
bitch,English,"2,428 sightings (Recent)",Moderately offensive
bitches  (plural of bitch),English,"2,626 sightings (Recent)",Moderately offensive
bix nood,English,300 sightings (Recent),-
bix noods  (plural of bix nood),English,13 sightings (Recent),-
black Barbie,English,-,Mildly offensive
black Barbies  (plural of black Barbie),English,-,-
black dago,English,13 sightings,Highly offensive
black dagoes  (variant of black dagos)  (plural of black dago),English,-,-
black dagos  (plural of black dago),English,-,-
black invader,English,58 sightings (Recent),Highly offensive
black invaders  (plural of black invader),English,39 sightings (Recent),-
blaxican,English,113 sightings (Recent),Mildly offensive
blaxicans  (plural of blaxican),English,313 sightings (Recent),Mildly offensive
blockhead,English,-,Moderately offensive
blockheads  (plural of blockhead),English,-,-
bludger,English,"1,639 sightings (Recent)",Mildly offensive
bludgers  (plural of bludger),English,-,-
blue gum,English,178 sightings (Recent),Highly offensive
blue gums  (plural of blue gum),English,202 sightings (Recent),Mildly offensive
bluegum,English,240 sightings (Recent),Highly offensive
bluegums  (plural of bluegum),English,52 sightings (Recent),-
bog hopper  (variant of Bog Irish),English,21 sightings,Highly offensive
bog hoppers  (plural of bog hopper),English,31 sightings,-
Bog Irish,English,151 sightings (Recent),Highly offensive
bog jumper  (variant of Bog Irish),English,22 sightings,Mildly offensive
bog jumpers  (plural of bog jumper),English,8 sightings (Recent),Mildly offensive
bog trotter  (variant of Bog Irish),English,785 sightings (Recent),Highly offensive
bog trotters  (plural of bog trotter),English,530 sightings (Recent),Extremely offensive
bogan,English,"2,137 sightings (Recent)",Highly offensive
bogans  (plural of bogan),English,"1,106 sightings (Recent)",Highly offensive
bohunk,English,737 sightings (Recent),Highly offensive
bohunks  (plural of bohunk),English,132 sightings (Recent),-
bong  (variant of boong),English,-,Extremely offensive
bongs  (plural of bong),English,-,-
boo  (variant of jigaboo),English,-,Highly offensive
boogat,English,-,-
boogats  (plural of boogat),English,-,-
boojie,English,-,Highly offensive
boojies  (plural of boojie),English,13 sightings (Recent),-
book book,English,-,Highly offensive
book books  (plural of book book),English,-,-
boon  (variant of booner),English,-,Highly offensive
booner,English,500 sightings (Recent),Highly offensive
booners  (plural of booner),English,145 sightings (Recent),-
boong,English,135 sightings (Recent),Extremely offensive
boonga  (variant of boong),English,-,Extremely offensive
boongas  (plural of boonga),English,67 sightings,-
boongs  (plural of boong),English,77 sightings (Recent),-
boonie  (variant of boong),English,241 sightings (Recent),Highly offensive
boonies  (plural of boonie),English,-,Mildly offensive
boons  (plural of boon),English,-,-
boos  (plural of boo),English,-,-
bootlip,English,52 sightings (Recent),Extremely offensive
bootlips  (plural of bootlip),English,24 sightings,Extremely offensive
border babies  (variant of anchor baby)  (plural of border baby),English,25 sightings,-
border baby  (variant of anchor baby),English,58 sightings (Recent),-
border bandit  (variant of border jumpers),English,36 sightings (Recent),-
border bandito  (variant of border bandits),English,-,-
border banditoes  (variant of border banditos),English,-,-
border banditos  (plural of border bandito),English,-,-
border bandits  (plural of border bandit),English,57 sightings,-
border bunnies  (plural of border bunny),English,156 sightings (Recent),-
border bunny  (variant of wetback),English,320 sightings (Recent),Extremely offensive
border hopper  (variant of wetback),English,"2,824 sightings (Recent)",Extremely offensive
border hoppers  (plural of border hopper),English,"2,242 sightings (Recent)",-
border jumper  (variant of wetback),English,"3,422 sightings (Recent)",Highly offensive
border jumpers  (plural of border jumper),English,"3,051 sightings (Recent)",-
border nigger  (variant of wetback),English,9 sightings,Extremely offensive
border niggers  (plural of border nigger),English,-,Extremely offensive
boujee,English,-,-
boujees  (plural of boujee),English,-,-
Bounty bar,English,-,Moderately offensive
Bounty bars  (plural of Bounty bar),English,-,Moderately offensive
boxhead,English,-,Moderately offensive
boxheads  (plural of boxhead),English,-,-
brass ankle,English,3 sightings,Highly offensive
brass ankles  (plural of brass ankle),English,2 sightings,-
brown invader  (variant of black invader),English,38 sightings (Recent),Highly offensive
brown invaders  (plural of brown invader),English,295 sightings (Recent),Highly offensive
brownie,English,-,Extremely offensive
brownies  (plural of brownie),English,-,-
bubble,English,-,Moderately offensive
bubbles  (plural of bubble),English,-,-
buck,English,-,Moderately offensive
bucker  (variant of buck),English,-,-
buckers  (variant of buck)  (plural of bucker),English,-,-
buckethead,English,1 sighting,Highly offensive
bucketheads  (plural of buckethead),English,-,-
buckra,English,396 sightings (Recent),Highly offensive
buckras  (plural of buckra),English,175 sightings (Recent),-
buckrette  (variant of buckra),English,1 sighting,-
buckrettes  (plural of buckrette),English,-,-
bucks  (plural of buck),English,-,Moderately offensive
Buckwheat,English,305 sightings (Recent),Highly offensive
Buddhahead,English,6 sightings,Highly offensive
Buddhaheads  (plural of Buddhahead),English,24 sightings,-
buffie,English,-,Highly offensive
buffies  (plural of buffie),English,-,-
buffy  (variant of buffie),English,-,-
bug eater,English,-,Highly offensive
bug eaters  (plural of bug eater),English,449 sightings (Recent),-
buk buk  (variant of book book),English,3 sightings,Moderately offensive
buk buks  (plural of buk buk),English,5 sightings,Moderately offensive
bull dyke  (variant of dyke),English,"2,509 sightings (Recent)",-
bull dykes  (plural of bull dyke),English,"1,119 sightings (Recent)",-
bumblebee,English,-,Highly offensive
bumblebees  (plural of bumblebee),English,-,Moderately offensive
bung  (variant of boong),English,-,Extremely offensive
bunga  (variant of boong),English,-,Extremely offensive
bungas  (plural of bunga),English,179 sightings (Recent),-
bungs  (plural of bung),English,-,-
burrhead,English,50 sightings,Highly offensive
burrheads  (plural of burrhead),English,6 sightings,Highly offensive
bush bandit,English,21 sightings (Recent),Extremely offensive
bush bandits  (plural of bush bandit),English,16 sightings (Recent),-
bushnigger,English,-,Highly offensive
bushniggers  (plural of bushnigger),English,-,Highly offensive
bushniglet  (variant of bushnigger),English,-,-
bushniglets  (plural of bushniglet),English,-,-
butt pirate,English,"2,678 sightings (Recent)",Highly offensive
butt pirates  (plural of butt pirate),English,"2,074 sightings (Recent)",Moderately offensive
butterhead,English,-,Highly offensive
butterheads  (plural of butterhead),English,117 sightings (Recent),Highly offensive
cab nigger,English,1 sighting,Extremely offensive
cab niggers  (plural of cab nigger),English,1 sighting,Highly offensive
cairo coon  (variant of sand nigger),English,6 sightings,-
cairo coons  (plural of cairo coon),English,1 sighting,-
camel cowboy  (variant of camel jockey),English,18 sightings (Recent),Extremely offensive
camel cowboys  (plural of camel cowboy),English,9 sightings,-
camel fucker,English,"1,206 sightings",Extremely offensive
camel fuckers  (plural of camel fucker),English,459 sightings,Extremely offensive
camel humper  (variant of camel jockey),English,460 sightings (Recent),Extremely offensive
camel humpers  (plural of camel humper),English,243 sightings (Recent),Extremely offensive
camel jacker  (variant of camel jockey),English,2 sightings,Extremely offensive
camel jackers  (plural of camel jacker),English,2 sightings,-
camel jockey,English,"3,640 sightings (Recent)",Highly offensive
camel jockeys  (plural of camel jockey),English,"1,780 sightings (Recent)",Moderately offensive
can and ban  (variant of bans and cans),English,-,-
can eater,English,-,Extremely offensive
can eaters  (plural of can eater),English,1 sighting,-
canigger,English,8 sightings,Extremely offensive
caniggers  (plural of canigger),English,-,-
canigglet  (variant of canigger),English,-,Mildly offensive
canniglets  (plural of canigglet),English,-,Mildly offensive
cans and bans  (plural of can and ban),English,-,-
carpet pilot,English,50 sightings (Recent),Highly offensive
carpet pilots  (plural of carpet pilot),English,28 sightings (Recent),-
carrot snap  (variant of carrot snapper),English,4 sightings,-
carrot snapper,English,9 sightings,Highly offensive
carrot snappers  (plural of carrot snapper),English,11 sightings,-
carrot snaps  (variant of carrot snapper)  (plural of carrot snap),English,4 sightings,-
Caublasian,English,46 sightings (Recent),Moderately offensive
Caublasians  (plural of Caublasian),English,10 sightings,-
cave nigger,English,20 sightings,Extremely offensive
cave niggers  (plural of cave nigger),English,7 sightings,Extremely offensive
celestial,English,-,Mildly offensive
celestials  (plural of celestial),English,-,-
Chad,English,-,Mildly offensive
Chad Thundercock  (variant of Chad),English,-,-
Chad Thundercocks  (plural of Chad Thundercock),English,-,-
Chads  (plural of Chad),English,-,Mildly offensive
Charlie,English,-,Extremely offensive
Charlies  (plural of Charlie),English,-,-
Charly  (variant of Charlie),English,-,-
charva,English,"1,145 sightings (Recent)",Moderately offensive
charvas  (plural of charva),English,214 sightings (Recent),Mildly offensive
charver  (variant of charva),English,541 sightings (Recent),Highly offensive
charvers  (plural of charver),English,124 sightings (Recent),-
chav,English,773 sightings (Recent),Mildly offensive
chavette  (variant of chav),English,241 sightings (Recent),-
chavettes  (plural of chavette),English,66 sightings (Recent),-
chavs  (plural of chav),English,485 sightings (Recent),-
chee chee,English,-,Highly offensive
chee chees  (plural of chee chee),English,36 sightings (Recent),-
chi chi  (variant of chee chee),English,4 sightings,Extremely offensive
chi chi bwoy  (variant of chi chi man),English,60 sightings (Recent),-
chi chi bwoys  (plural of chi chi bwoy),English,4 sightings,-
chi chi man,English,30 sightings (Recent),-
chi chi men  (plural of chi chi man),English,5 sightings,-
chi chis  (plural of chi chi),English,-,-
chief,English,-,Extremely offensive
chigger,English,-,Highly offensive
chiggers  (plural of chigger),English,-,-
chili shitter,English,4 sightings,Highly offensive
chili shitters  (plural of chili shitter),English,5 sightings (Recent),-
chimp pack,English,9 sightings (Recent),Extremely offensive
chimp packs  (plural of chimp pack),English,-,-
chimp-out,English,174 sightings (Recent),Extremely offensive
chimp-outs  (plural of chimp pack),English,37 sightings (Recent),-
chimped-out  (variant of chimp-out),English,14 sightings (Recent),Extremely offensive
Chinaman,English,"3,751 sightings (Recent)",Highly offensive
Chinamen  (plural of Chinaman),English,"2,439 sightings (Recent)",-
Chinese wetback,English,3 sightings,Extremely offensive
Chinese wetbacks  (plural of Chinese wetback),English,-,-
ching chong,English,628 sightings (Recent),Highly offensive
ching chongs  (plural of ching chong),English,"2,197 sightings (Recent)",Highly offensive
chinig,English,15 sightings,Extremely offensive
chinigs  (plural of chinig),English,-,Extremely offensive
chink,English,489 sightings (Recent),Extremely offensive
chink a billies  (plural of chink a billy),English,-,-
chink a billy,English,-,Extremely offensive
chinks  (plural of chink),English,809 sightings (Recent),Extremely offensive
cholo chaser,English,2 sightings,Highly offensive
cholo chasers  (plural of cholo chaser),English,-,-
cholo chasing  (variant of cholo chaser),English,-,Extremely offensive
chonkies  (plural of chonky),English,184 sightings (Recent),Moderately offensive
chonky,English,"1,024 sightings (Recent)",Moderately offensive
Christ killer,English,330 sightings (Recent),Extremely offensive
Christ killers  (plural of Christ killer),English,558 sightings (Recent),-
chug,English,1 sighting,Highly offensive
chugs  (plural of chug),English,-,Highly offensive
chunkies  (plural of chunky),English,-,-
chunky  (variant of chonky),English,-,Extremely offensive
Chuslim,English,211 sightings (Recent),Extremely offensive
clam  (variant of clamhead),English,-,Highly offensive
clamhead,English,-,Highly offensive
clamheads  (plural of clamhead),English,7 sightings,Moderately offensive
clams  (plural of clam),English,-,-
clog wog,English,41 sightings (Recent),Moderately offensive
clog wogs  (plural of clog wog),English,6 sightings,Moderately offensive
closet dyke  (variant of closet fag),English,117 sightings (Recent),Moderately offensive
closet dykes  (variant of closet fag)  (plural of closet dyke),English,28 sightings (Recent),-
closet fag,English,457 sightings (Recent),Extremely offensive
closet fags  (plural of closet fag),English,261 sightings (Recent),-
closetfag  (variant of closet fag),English,14 sightings (Recent),Highly offensive
closetfags  (plural of closetfag),English,12 sightings,-
cock tease,English,282 sightings (Recent),-
cocksucker,English,-,Highly offensive
cocksuckers  (plural of cocksucker),English,-,-
cocoa,English,-,Highly offensive
Cocoa Puff  (variant of cocoa),English,-,Highly offensive
Cocoa Puffs  (plural of Cocoa Puff),English,-,-
cocoas  (plural of cocoa),English,-,-
coconut,English,-,Highly offensive
coconuts  (plural of coconut),English,-,-
cohee,English,-,-
cohees  (plural of cohee),English,-,-
colored,English,-,Extremely offensive
coloreds  (plural of colored),English,"1,317 sightings (Recent)",-
coloured  (variant of colored),English,-,Extremely offensive
coloureds  (plural of coloured),English,649 sightings (Recent),-
conchuda  (variant of cunt),English,133 sightings (Recent),Extremely offensive
conchudas  (plural of conchuda),English,80 sightings (Recent),-
Congoid,English,880 sightings (Recent),Extremely offensive
Congoids  (plural of Congoid),English,436 sightings (Recent),-
coolie,English,607 sightings (Recent),Extremely offensive
coolies  (plural of coolie),English,694 sightings (Recent),-
coon,English,"1,252 sightings (Recent)",Extremely offensive
coon ass,English,"4,891 sightings (Recent)",Highly offensive
coonadian,English,29 sightings,Extremely offensive
coonadians  (plural of coonadian),English,3 sightings,-
coons  (plural of coon),English,756 sightings (Recent),-
CoronaJihad,English,42 sightings (Recent),Extremely offensive
cotton picker,English,"6,394 sightings (Recent)",Highly offensive
cotton pickers  (plural of cotton picker),English,683 sightings (Recent),-
Covid786,English,-,Extremely offensive
cow kisser,English,34 sightings,Highly offensive
cow kissers  (plural of cow kisser),English,10 sightings,Highly offensive
cowboy killer,English,"1,616 sightings (Recent)",Highly offensive
cowboy killers  (plural of cowboy killer),English,"2,727 sightings (Recent)",-
cracker,English,"1,513 sightings (Recent)",Mildly offensive
crackers  (plural of cracker),English,-,Extremely offensive
cripple,English,"1,654 sightings (Recent)",Highly offensive
cripples  (plural of cripple),English,"1,281 sightings (Recent)",Highly offensive
crow,English,-,Highly offensive
croweater,English,128 sightings (Recent),-
croweaters  (plural of croweater),English,118 sightings (Recent),-
crows  (plural of crow),English,-,-
culchie,English,749 sightings (Recent),-
culchies  (plural of culchie),English,962 sightings (Recent),-
cunt,English,2 sightings,Extremely offensive
cunter  (variant of cunt),English,-,Highly offensive
cunts  (plural of cunt),English,"1,432 sightings (Recent)",Extremely offensive
curry muncher,English,"6,366 sightings (Recent)",Highly offensive
curry munchers  (plural of curry muncher),English,"3,988 sightings (Recent)",Moderately offensive
curry slurper  (variant of curry muncher),English,-,Extremely offensive
curry slurpers  (plural of curry slurper),English,-,-
curry stinker  (variant of curry muncher),English,137 sightings (Recent),Extremely offensive
curry stinkers  (plural of curry stinker),English,16 sightings (Recent),Extremely offensive
Cushi  (variant of Cushite),English,59 sightings,Moderately offensive
Cushis  (plural of Cushi),English,3 sightings,Mildly offensive
Cushite,English,640 sightings (Recent),Highly offensive
Cushites  (plural of Cushite),English,349 sightings (Recent),-
da goyim know  (variant of the goyim know),English,4 sightings,-
dagette  (variant of dago),English,-,-
dagettes  (variant of dago)  (plural of dagette),English,-,-
dago,English,77 sightings (Recent),Highly offensive
dagos  (plural of dago),English,154 sightings (Recent),-
dagowop,English,2 sightings,Extremely offensive
dagowops  (plural of dagowop),English,1 sighting,Extremely offensive
darkey  (variant of darky),English,124 sightings,Extremely offensive
darkie  (variant of darky),English,"3,402 sightings (Recent)",Highly offensive
darkies  (plural of darkie),English,"2,771 sightings (Recent)",Highly offensive
darky,English,"1,069 sightings (Recent)",Extremely offensive
degette  (variant of dago),English,15 sightings (Recent),-
degettes  (variant of dago)  (plural of degette),English,1 sighting,-
dego  (variant of dago),English,-,Highly offensive
degos  (plural of dego),English,114 sightings (Recent),-
deminigger  (variant of seminiggers),English,-,Extremely offensive
deminiggers  (plural of deminigger),English,-,-
derka derka,English,57 sightings (Recent),Highly offensive
derka derkas  (plural of derka derka),English,11 sightings (Recent),-
dhimmi,English,"1,603 sightings (Recent)",Extremely offensive
dhimmis  (plural of dhimmi),English,481 sightings (Recent),Extremely offensive
diaper head  (variant of raghead),English,249 sightings (Recent),Extremely offensive
diaper heads  (plural of diaper head),English,354 sightings (Recent),-
dindu  (variant of dindu nuffin),English,"1,701 sightings (Recent)",Extremely offensive
dindu nuffin,English,"3,699 sightings (Recent)",Extremely offensive
dinge,English,12 sightings,Highly offensive
dinges  (plural of dinge),English,115 sightings (Recent),Highly offensive
dingo fucker,English,59 sightings,Extremely offensive
dingo fuckers  (plural of dingo fucker),English,8 sightings (Recent),-
dink,English,414 sightings (Recent),Extremely offensive
dinkladies  (variant of dink)  (plural of dinklady),English,-,-
dinklady  (variant of dink),English,-,-
dinks  (plural of dink),English,413 sightings (Recent),-
div,English,-,Highly offensive
divs  (plural of div),English,-,-
divvies  (plural of divvy),English,"1,108 sightings (Recent)",-
divvy  (variant of div),English,-,Highly offensive
dog eater,English,-,-
dog eaters  (plural of dog eater),English,-,-
dogan,English,2 sightings,Extremely offensive
dogans  (plural of dogan),English,66 sightings,-
dogun  (variant of dogan),English,63 sightings (Recent),Extremely offensive
doguns  (plural of dogun),English,1 sighting,-
dole bludger  (variant of bludger),English,"3,517 sightings (Recent)",Extremely offensive
dole bludgers  (plural of dole bludger),English,"2,761 sightings (Recent)",-
domes,English,-,Highly offensive
dot head,English,31 sightings (Recent),Highly offensive
dot heads  (plural of dot head),English,51 sightings (Recent),Highly offensive
dres  (transliteration of drɛs),English,-,-
dresiarz  (variant of dres),English,51 sightings (Recent),-
dune coon  (variant of sand nigger),English,"1,235 sightings",Extremely offensive
dune coons  (plural of dune coon),English,204 sightings,-
dune nigger  (variant of sand nigger),English,12 sightings,Extremely offensive
dune niggers  (plural of dune nigger),English,2 sightings,Extremely offensive
durka durka  (variant of derka derka),English,258 sightings (Recent),-
durka durkas  (variant of derka derka)  (plural of durka durka),English,49 sightings (Recent),-
dyke,English,"1,632 sightings (Recent)",Extremely offensive
dyke jumper,English,47 sightings (Recent),Mildly offensive
dyke jumpers  (plural of dyke jumper),English,8 sightings,Mildly offensive
dykes  (plural of dyke),English,"1,243 sightings (Recent)",Highly offensive
egg,English,-,Moderately offensive
eggplant,English,-,Moderately offensive
eggs  (plural of egg),English,-,-
eh hole,English,15 sightings,Mildly offensive
eh holes  (plural of eh hole),English,8 sightings (Recent),-
eight ball,English,1 sighting,Extremely offensive
eight balls  (plural of eight ball),English,-,-
eshay,English,857 sightings (Recent),-
eshays  (plural of eshay),English,"1,113 sightings (Recent)",Moderately offensive
eurotrash,English,928 sightings (Recent),Extremely offensive
eyetie,English,437 sightings (Recent),Highly offensive
eyeties  (plural of eyetie),English,95 sightings (Recent),-
fag,English,"2,599 sightings (Recent)",Extremely offensive
fagbag,English,"1,517 sightings (Recent)",Extremely offensive
fagbags  (plural of fagbag),English,204 sightings (Recent),-
fagdick  (variant of fag),English,3 sightings,-
fagdicks  (variant of fag)  (plural of fagdick),English,-,-
faggot  (variant of fag),English,"4,882 sightings (Recent)",Extremely offensive
faggots  (plural of faggot),English,"2,889 sightings (Recent)",Extremely offensive
faggy  (variant of fag),English,"2,510 sightings (Recent)",Extremely offensive
fags  (plural of fag),English,-,-
fagshit  (variant of fag),English,66 sightings (Recent),Extremely offensive
fagshits  (variant of fag)  (plural of fagshit),English,-,-
fairies  (plural of Fairy),English,-,-
Fairy,English,-,Extremely offensive
featherhead,English,-,-
featherheads  (plural of featherhead),English,-,-
feminazi,English,204 sightings (Recent),-
feminazis  (plural of feminazi),English,125 sightings (Recent),-
Fenian,English,563 sightings (Recent),-
Fenians  (plural of Fenian),English,555 sightings (Recent),-
fez,English,-,Extremely offensive
fezzes  (plural of fez),English,570 sightings (Recent),-
FGM,English,-,Extremely offensive
filthypino,English,3 sightings,Extremely offensive
filthypinoes  (variant of filthypinos),English,-,Moderately offensive
filthypinos  (plural of filthypino),English,6 sightings,-
fish wagon,English,1 sighting,Moderately offensive
flip,English,-,Extremely offensive
flipabeano,English,-,Highly offensive
flipabeanos  (plural of flipabeano),English,1 sighting,Moderately offensive
flipette  (variant of flip),English,39 sightings (Recent),-
flipettes  (variant of flip)  (plural of flipette),English,7 sightings,-
flips  (plural of flip),English,"1,031 sightings (Recent)",-
floppies  (plural of floppy),English,-,-
floppy,English,-,-
FOB  (variant of fresh off the boat),English,-,Extremely offensive
FOBs  (plural of FOB),English,-,-
fog nigger,English,2 sightings,Extremely offensive
fog niggers  (plural of fog nigger),English,1 sighting,-
four by two,English,2 sightings,Highly offensive
four by twos  (plural of four by two),English,-,-
Freḥa  (transliteration of פרחה),English,1 sighting,-
fresh off the boat,English,-,Moderately offensive
frog,English,-,Highly offensive
frogs  (plural of frog),English,-,-
fruit,English,1 sighting,Moderately offensive
fruities  (variant of fruit)  (plural of fruity),English,814 sightings (Recent),-
fruits  (plural of fruit),English,-,Moderately offensive
fruity  (variant of fruit),English,-,Moderately offensive
fudgepacker,English,"1,573 sightings (Recent)",Highly offensive
fudgepackers  (plural of fudgepacker),English,809 sightings (Recent),Highly offensive
fuzzies  (plural of fuzzy),English,-,-
fuzzy,English,-,Highly offensive
fuzzy wuzzies  (plural of fuzzy wuzzy),English,-,-
