0,1,2,3
fuzzy wuzzy,English,-,Highly offensive
gable,English,-,Highly offensive
gables  (plural of gable),English,-,-
gas huffer,English,-,-
gas huffers  (plural of gas huffer),English,-,-
gash,English,-,Extremely offensive
gasher  (variant of gash),English,-,-
gashes  (plural of gash),English,-,-
gator bait  (variant of alligator bait),English,564 sightings (Recent),Highly offensive
gay,English,1 sighting,Extremely offensive
gay mafia,English,938 sightings (Recent),-
gaylord  (variant of gay),English,189 sightings (Recent),Highly offensive
gaylords  (plural of gaylord),English,663 sightings (Recent),-
gender nigger,English,6 sightings,Extremely offensive
Gerudo,English,-,Extremely offensive
Gerudos  (plural of Gerudo),English,700 sightings (Recent),-
gew,English,-,Extremely offensive
gews  (plural of gew),English,205 sightings (Recent),-
gey  (variant of gay),English,-,Highly offensive
ghetto,English,-,Highly offensive
ghetto hamster,English,17 sightings,Highly offensive
ghetto hamsters  (plural of ghetto hamster),English,3 sightings,-
ghetto monkey  (variant of porch monkey),English,181 sightings (Recent),-
ghetto monkeys  (plural of ghetto monkey),English,132 sightings (Recent),-
ghey  (variant of gay),English,"1,274 sightings (Recent)",Highly offensive
gheys  (variant of gay)  (plural of ghey),English,"1,115 sightings (Recent)",Highly offensive
ghost,English,-,Extremely offensive
ghosts  (plural of ghost),English,-,-
gimp,English,739 sightings (Recent),Extremely offensive
gimps  (plural of gimp),English,"1,121 sightings (Recent)",-
gimpy  (variant of gimp),English,962 sightings (Recent),Highly offensive
gin,English,-,Extremely offensive
gin jockey,English,12 sightings (Recent),Highly offensive
gin jockeys  (plural of gin jockey),English,4 sightings (Recent),-
ginger,English,1 sighting,Mildly offensive
gingers  (plural of ginger),English,-,Mildly offensive
gingette  (variant of ginger),English,1 sighting,-
gingettes  (variant of ginger)  (plural of gingette),English,1 sighting,-
gingie  (variant of ginger),English,-,-
gingies  (variant of ginger)  (plural of gingie),English,-,-
gingy  (variant of ginger),English,-,Mildly offensive
gink,English,-,-
ginks  (plural of gink),English,-,-
gins  (plural of gin),English,-,-
ginzo  (variant of guinea),English,72 sightings,Highly offensive
ginzos  (plural of ginzo),English,56 sightings (Recent),-
gipp  (variant of gyppo),English,-,Highly offensive
gippo  (variant of gyppo),English,983 sightings (Recent),Extremely offensive
gippos  (plural of gippo),English,306 sightings (Recent),-
gipps  (plural of gipp),English,229 sightings (Recent),-
Girl,English,-,Moderately offensive
globalist,English,-,Extremely offensive
globalists  (plural of globalist),English,522 sightings (Recent),-
goatfucker,English,-,Extremely offensive
goi  (variant of goy),English,-,Highly offensive
golliwog,English,364 sightings (Recent),Extremely offensive
golliwogs  (plural of golliwog),English,"1,497 sightings (Recent)",-
goloid,English,-,-
goloids  (plural of goloid),English,-,-
goober,English,"2,099 sightings (Recent)",Extremely offensive
goobers  (plural of goober),English,"1,047 sightings (Recent)",-
good goy,English,359 sightings (Recent),-
good goys  (plural of good goy),English,115 sightings (Recent),-
gook,English,702 sightings (Recent),Extremely offensive
gook eye  (variant of gook),English,8 sightings,Extremely offensive
gook eyed  (variant of gook eyes),English,3 sightings,-
gook eyes  (plural of gook eye),English,30 sightings,-
gookette  (variant of gook),English,1 sighting,Extremely offensive
gookettes  (variant of gook)  (plural of gookette),English,10 sightings,-
gookie  (variant of gook),English,-,-
gookies  (plural of gookie),English,-,-
gooklet  (variant of gook),English,-,Highly offensive
gooklets  (variant of gook)  (plural of gooklet),English,-,Extremely offensive
gooks  (plural of gook),English,962 sightings (Recent),Extremely offensive
gooky  (variant of gook),English,488 sightings (Recent),Extremely offensive
gooky eyes  (variant of gook eyes),English,11 sightings (Recent),-
gopnik  (transliteration of го́пник),English,-,-
gopniks  (plural of gopnik),English,514 sightings (Recent),-
greaseball,English,-,Highly offensive
greaseballs  (plural of greaseball),English,890 sightings (Recent),-
greaser  (variant of greaseball),English,-,Extremely offensive
greasers  (plural of greaser),English,785 sightings (Recent),-
groid,English,997 sightings (Recent),Extremely offensive
groids  (plural of groid),English,"1,695 sightings (Recent)",-
guala,English,"2,445 sightings (Recent)",Extremely offensive
guala guala  (variant of guala),English,25 sightings,Highly offensive
guala gualas  (plural of guala guala),English,73 sightings (Recent),-
gualas  (plural of guala),English,166 sightings (Recent),Extremely offensive
gub,English,4 sightings,Highly offensive
gubba  (variant of gub),English,137 sightings (Recent),Highly offensive
gubbas  (plural of gubba),English,131 sightings (Recent),-
gubs  (plural of gub),English,33 sightings,-
guidette,English,445 sightings (Recent),Highly offensive
guidettes  (plural of guidette),English,323 sightings (Recent),-
guido,English,40 sightings (Recent),Highly offensive
guidos  (plural of guido),English,398 sightings (Recent),-
guinea,English,-,Highly offensive
guineas  (plural of guinea),English,241 sightings (Recent),-
gun burglar  (variant of gin jockey),English,-,Extremely offensive
gun burglars  (plural of gun burglar),English,-,-
gurrier,English,418 sightings (Recent),Extremely offensive
gurriers  (plural of gurrier),English,264 sightings (Recent),-
Gwat,English,11 sightings,Extremely offensive
Gwats  (plural of Gwat),English,1 sighting,-
gyp  (variant of gyppo),English,11 sightings,Highly offensive
gypo  (variant of gyppo),English,"7,813 sightings (Recent)",Extremely offensive
gypoes  (variant of gypos)  (plural of gypo),English,11 sightings (Recent),-
gypos  (plural of gypo),English,"3,788 sightings (Recent)",-
gypped  (plural of gyp),English,963 sightings (Recent),Moderately offensive
gyppie  (variant of gyppo),English,12 sightings,Extremely offensive
gyppies  (plural of gyppie),English,6 sightings,-
gyppo,English,"2,712 sightings (Recent)",Extremely offensive
gyppoes  (variant of gypos)  (plural of gyppo),English,3 sightings,-
gyppos  (plural of gyppo),English,733 sightings (Recent),-
gyppy  (variant of gyppo),English,93 sightings (Recent),Extremely offensive
gyps  (plural of gyp),English,69 sightings (Recent),Moderately offensive
gypsi  (variant of gypsy),English,-,-
gypsies  (plural of gypsy),English,470 sightings (Recent),-
gypsy,English,180 sightings (Recent),Highly offensive
hadji  (variant of haji),English,70 sightings,Highly offensive
hadjis  (plural of hadji),English,100 sightings (Recent),-
hairyback,English,48 sightings,Highly offensive
hairybacks  (plural of hairyback),English,14 sightings (Recent),-
haji,English,62 sightings (Recent),Highly offensive
hajis  (plural of haji),English,183 sightings (Recent),-
hajji  (variant of haji),English,61 sightings (Recent),Highly offensive
hajjis  (plural of hajji),English,228 sightings (Recent),-
halala,English,142 sightings (Recent),Extremely offensive
halalability  (variant of halalification),English,-,Extremely offensive
halalification,English,11 sightings (Recent),Extremely offensive
half bred  (variant of half breed),English,-,-
half breed,English,22 sightings,Extremely offensive
half breeds  (plural of half breed),English,35 sightings,-
halfrican,English,437 sightings (Recent),Highly offensive
halfricans  (plural of halfrican),English,424 sightings (Recent),Extremely offensive
harambe,English,-,Extremely offensive
hatzi  (variant of haji),English,6 sightings,-
hatzis  (plural of hatzi),English,14 sightings,-
hayseed,English,"1,682 sightings (Recent)",Highly offensive
hayseeds  (plural of hayseed),English,"1,559 sightings (Recent)",-
hebe,English,71 sightings (Recent),Extremely offensive
hebes  (plural of hebe),English,129 sightings (Recent),-
hebro,English,243 sightings (Recent),Extremely offensive
hebros  (plural of hebro),English,104 sightings (Recent),Extremely offensive
heeb  (variant of hebe),English,452 sightings (Recent),Highly offensive
heebs  (plural of heeb),English,"1,818 sightings (Recent)",Highly offensive
heinie,English,-,Highly offensive
heinies  (plural of heinie),English,"1,721 sightings (Recent)",Highly offensive
hick,English,14 sightings,Highly offensive
hicks  (plural of hick),English,-,-
higger,English,407 sightings (Recent),Highly offensive
higgers  (plural of higger),English,"1,047 sightings (Recent)",Moderately offensive
hillbillies  (plural of hillbilly),English,"1,225 sightings (Recent)",-
hillbilly,English,"2,323 sightings (Recent)",Highly offensive
himbo,English,977 sightings (Recent),Mildly offensive
ho,English,-,Extremely offensive
hodgie  (variant of haji),English,6 sightings (Recent),Highly offensive
hodgies  (plural of hodgie),English,9 sightings (Recent),-
hoe  (variant of ho),English,-,Highly offensive
hoes  (plural of hoe),English,-,Highly offensive
holohoax,English,450 sightings (Recent),Extremely offensive
Homintern,English,799 sightings (Recent),-
honkey  (variant of honky),English,"1,953 sightings (Recent)",Moderately offensive
honkeye  (variant of honky),English,15 sightings,Highly offensive
honkie  (variant of honky),English,"5,187 sightings (Recent)",Highly offensive
honkies  (plural of honkie),English,"4,298 sightings (Recent)",-
honklet,English,26 sightings (Recent),Highly offensive
honklets  (plural of honklet),English,33 sightings,-
honky,English,44 sightings,Moderately offensive
Honyak  (variant of Hunyak),English,4 sightings,Extremely offensive
Honyaks  (plural of Honyak),English,3 sightings (Recent),-
Honyock  (variant of Hunyak),English,9 sightings,Highly offensive
Honyocks  (plural of Honyock),English,-,-
hoodrat,English,"2,897 sightings (Recent)",Highly offensive
hoodrats  (plural of hoodrat),English,"1,705 sightings (Recent)",Highly offensive
hooknose,English,216 sightings (Recent),-
hooknosed  (variant of hooknose),English,297 sightings (Recent),-
hooknoses  (plural of hooknose),English,31 sightings (Recent),-
Hoorah Henries  (plural of Hoorah Henry),English,2 sightings,-
Hoorah Henrietta  (variant of Hooray Henrietta),English,1 sighting,-
Hoorah Henriettas  (plural of Hoorah Henrietta),English,-,-
Hoorah Henry  (variant of Hooray Henry),English,32 sightings (Recent),-
Hooray Henries  (plural of Hooray Henry),English,61 sightings (Recent),Mildly offensive
Hooray Henrietta,English,31 sightings (Recent),-
Hooray Henriettas  (plural of Hooray Henrietta),English,6 sightings,-
Hooray Henry,English,446 sightings (Recent),Mildly offensive
hoosier,English,-,Extremely offensive
hoosiers  (plural of hoosier),English,-,Extremely offensive
hori,English,120 sightings (Recent),Highly offensive
hories  (plural of hori),English,20 sightings,-
hos  (plural of ho),English,114 sightings (Recent),-
hoser,English,807 sightings (Recent),Mildly offensive
hosers  (plural of hoser),English,939 sightings (Recent),Mildly offensive
house nigger,English,"2,992 sightings (Recent)",Extremely offensive
house niggers  (plural of house nigger),English,"1,316 sightings (Recent)",-
Hun,English,-,Highly offensive
Hunkie  (variant of Hunky),English,-,Highly offensive
Hunkies  (plural of Hunkie),English,65 sightings (Recent),-
Hunky,English,-,Highly offensive
Huns  (plural of Hun),English,-,-
Hunyak,English,45 sightings,Highly offensive
Hunyaks  (plural of Hunyak),English,4 sightings,-
Hunyock  (variant of Hunyak),English,2 sightings,Extremely offensive
Hunyocks  (plural of Hunyock),English,1 sighting,-
hymie,English,691 sightings (Recent),Highly offensive
hymies  (plural of hymie),English,35 sightings (Recent),Moderately offensive
ice monkey,English,281 sightings (Recent),Highly offensive
ice monkeys  (plural of ice monkey),English,262 sightings (Recent),-
ice nigger,English,52 sightings,Extremely offensive
ice niggers  (plural of ice nigger),English,7 sightings,-
ike  (variant of ikey),English,-,Extremely offensive
ikes  (plural of ike),English,155 sightings (Recent),-
ikey,English,-,Extremely offensive
ikey mo  (variant of ikey),English,3 sightings,Extremely offensive
ikey mos  (plural of ikey mo),English,-,-
ikeys  (plural of ikey),English,63 sightings,-
iky  (variant of ikey),English,-,Highly offensive
injun,English,6 sightings,Extremely offensive
injuns  (plural of injun),English,"2,721 sightings (Recent)",-
island nigger,English,82 sightings,Extremely offensive
island niggers  (plural of island nigger),English,17 sightings,-
jackeen,English,394 sightings (Recent),-
jackeens  (plural of jackeen),English,-,-
JAFA,English,-,-
JAFAs  (plural of JAFA),English,-,-
jant,English,248 sightings (Recent),Moderately offensive
jants  (plural of jant),English,188 sightings (Recent),-
Jap,English,257 sightings (Recent),Moderately offensive
japie,English,53 sightings,Extremely offensive
japies  (plural of japie),English,13 sightings,-
Japland  (variant of Jap),English,172 sightings (Recent),Extremely offensive
Japs  (plural of Jap),English,"1,230 sightings (Recent)",Mildly offensive
Jerries  (plural of Jerry),English,-,-
Jerry,English,-,Highly offensive
jew-fucked  (variant of jew-fucker),English,-,Extremely offensive
jew-fucker,English,5 sightings,Extremely offensive
Jewbacca,English,62 sightings (Recent),Extremely offensive
jewbag,English,116 sightings (Recent),Extremely offensive
jewbagg  (variant of jewbag),English,-,Extremely offensive
jewtard,English,42 sightings,Extremely offensive
jewtarded  (variant of jewtard),English,10 sightings,Extremely offensive
jhant  (variant of jant),English,170 sightings (Recent),Moderately offensive
jhants  (plural of jhant),English,33 sightings (Recent),-
jig  (variant of jigaboo),English,-,Extremely offensive
jigaboo,English,"4,689 sightings (Recent)",Extremely offensive
jigaboos  (plural of jigaboo),English,"2,204 sightings (Recent)",Extremely offensive
jigarooni  (variant of jigaboo),English,8 sightings,Extremely offensive
jigaroonis  (plural of jigarooni),English,-,-
jigg  (variant of jigaboo),English,25 sightings,Extremely offensive
jigga,English,3 sightings,Extremely offensive
jiggabo  (variant of jigaboo),English,422 sightings (Recent),Extremely offensive
jiggaboo  (variant of jigaboo),English,"4,732 sightings (Recent)",Extremely offensive
jiggaboos  (plural of jiggaboo),English,"4,155 sightings (Recent)",Extremely offensive
jiggabos  (plural of jiggabo),English,27 sightings (Recent),-
jiggas  (plural of jigga),English,95 sightings,-
jigger,English,25 sightings,Extremely offensive
jiggers  (plural of jigger),English,52 sightings,Extremely offensive
jiggs  (plural of jigg),English,12 sightings,-
jigro,English,79 sightings (Recent),Extremely offensive
jigroes  (plural of jigro),English,-,Extremely offensive
jigros  (plural of jigro),English,2 sightings,Extremely offensive
jigs  (plural of jig),English,-,-
Jihadi,English,"1,588 sightings (Recent)",Highly offensive
jihadi-american,English,-,-
jihadi-americans  (plural of jihadi-american),English,-,-
Jihadis  (plural of Jihadi),English,-,Highly offensive
JihadiVirus,English,7 sightings,Extremely offensive
jijjiboo  (variant of jigaboo),English,3 sightings,Extremely offensive
jijjiboos  (plural of jijjiboo),English,-,Highly offensive
Jim Fish,English,25 sightings (Recent),Extremely offensive
jipsi  (variant of gypsy),English,-,Moderately offensive
jit,English,1 sighting,Moderately offensive
Jits  (plural of jit),English,173 sightings (Recent),Moderately offensive
jock,English,-,Highly offensive
jockie  (variant of jock),English,74 sightings (Recent),Highly offensive
jockies  (plural of jockie),English,-,-
jocks  (plural of jock),English,-,-
jocky  (variant of jock),English,317 sightings (Recent),Highly offensive
jungle bunny,English,"2,643 sightings (Recent)",Extremely offensive
jungle bunnys  (plural of jungle bunny),English,37 sightings (Recent),-
Junior Mint,English,-,Highly offensive
kanaka,English,19 sightings,Extremely offensive
khazar,English,341 sightings (Recent),Extremely offensive
khazars  (plural of khazar),English,92 sightings (Recent),-
kike,English,100 sightings (Recent),Extremely offensive
kikes  (plural of kike),English,"2,042 sightings (Recent)",Extremely offensive
kikesberg  (variant of kike),English,2 sightings,Extremely offensive
knacker,English,"3,855 sightings (Recent)",Extremely offensive
knackers  (plural of knacker),English,-,-
kneegroes  (plural of kneegrow),English,"1,580 sightings (Recent)",-
kneegrow,English,"3,643 sightings (Recent)",Extremely offensive
kotiya  (variant of tiger),English,3 sightings,Highly offensive
kotiyas  (plural of kotiya),English,17 sightings,-
kraut,English,416 sightings (Recent),Highly offensive
krauts  (plural of kraut),English,"2,243 sightings (Recent)",Moderately offensive
kunt  (variant of cunt),English,126 sightings (Recent),Highly offensive
Kushi  (variant of Cushite),English,82 sightings (Recent),Extremely offensive
Kushis  (plural of Kushi),English,26 sightings (Recent),-
Kushite  (variant of Cushite),English,720 sightings (Recent),Highly offensive
Kushites  (plural of Kushite),English,411 sightings (Recent),-
kyke  (variant of kike),English,252 sightings (Recent),Extremely offensive
kykes  (plural of kyke),English,206 sightings (Recent),-
latrino,English,79 sightings (Recent),Highly offensive
latrinos  (plural of latrino),English,148 sightings (Recent),-
lavender mafia  (variant of gay mafia),English,-,-
lawn jockey,English,-,Extremely offensive
lawn jockeys  (plural of lawn jockey),English,-,-
Leb,English,38 sightings,Extremely offensive
Lebbo  (variant of Leb),English,82 sightings (Recent),Extremely offensive
Lebbos  (plural of Lebbo),English,21 sightings,-
Lebs  (plural of Leb),English,115 sightings (Recent),-
lefties  (plural of lefty),English,-,-
lefty,English,-,Highly offensive
lemonhead,English,392 sightings (Recent),Highly offensive
lemonheads  (plural of lemonhead),English,-,-
leprechaun,English,1 sighting,Highly offensive
leprechauns  (plural of leprechaun),English,-,-
libtard,English,"1,543 sightings (Recent)",Mildly offensive
limey,English,874 sightings (Recent),Mildly offensive
limeys  (plural of limey),English,"1,209 sightings (Recent)",-
ling ling,English,37 sightings,Extremely offensive
ling lings  (plural of ling ling),English,323 sightings (Recent),-
lipstick lesbian,English,604 sightings (Recent),-
lipstick lesbians  (plural of lipstick lesbian),English,216 sightings (Recent),-
lobby gay,English,-,Mildly offensive
lowlander,English,108 sightings (Recent),Highly offensive
lowlanders  (plural of lowlander),English,-,-
lubra,English,42 sightings,Extremely offensive
lubras  (plural of lubra),English,26 sightings (Recent),-
lugan,English,24 sightings (Recent),Highly offensive
lugans  (plural of lugan),English,12 sightings,-
machosexual,English,3 sightings (Recent),-
mack  (variant of mick),English,-,Extremely offensive
mackerel snapper,English,18 sightings,Moderately offensive
mackerel snappers  (plural of mackerel snapper ),English,32 sightings,Moderately offensive
macks  (plural of mack),English,-,-
Madrasi,English,-,Highly offensive
mammy,English,39 sightings,Extremely offensive
mangia cake,English,153 sightings (Recent),Highly offensive
mangia cakes  (plural of mangia cake),English,34 sightings,-
Masshole,English,509 sightings (Recent),-
Massholes  (plural of Masshole),English,744 sightings (Recent),-
meatball patriot,English,-,-
meatball patriots  (plural of meatball patriot),English,-,Highly offensive
Merkin,English,-,Highly offensive
Merkins  (plural of Merkin),English,347 sightings (Recent),-
mick,English,135 sightings (Recent),Moderately offensive
mickey  (variant of mick),English,-,Moderately offensive
Mickey Finn  (variant of mick),English,-,Moderately offensive
Mickey Finns  (plural of Mickey Finn),English,-,-
mickeys  (plural of mickey),English,-,Mildly offensive
micks  (plural of mick),English,-,Mildly offensive
mil bag  (variant of spide),English,37 sightings (Recent),Extremely offensive
mil bags  (plural of mil bag),English,12 sightings (Recent),-
millie  (variant of spide),English,229 sightings (Recent),Extremely offensive
millies  (plural of millie),English,-,-
moch  (variant of mocky),English,-,Extremely offensive
mochs  (plural of moch),English,72 sightings (Recent),Highly offensive
mock  (variant of mocky),English,-,Highly offensive
mockey  (variant of mocky),English,312 sightings (Recent),Highly offensive
mockeys  (plural of mockey),English,18 sightings (Recent),-
mockie  (variant of mocky),English,14 sightings,Highly offensive
mockies  (plural of mockie),English,26 sightings (Recent),Moderately offensive
mocks  (plural of mock),English,-,-
mocky,English,60 sightings (Recent),Extremely offensive
moke,English,62 sightings (Recent),Extremely offensive
mokes  (plural of moke),English,176 sightings (Recent),-
mokies  (plural of moky),English,47 sightings (Recent),Extremely offensive
moky  (variant of mocky),English,57 sightings (Recent),Extremely offensive
mong,English,112 sightings (Recent),Extremely offensive
mongol,English,-,Extremely offensive
mongoloid,English,377 sightings (Recent),Highly offensive
mongoloids  (plural of mongoloid),English,420 sightings (Recent),-
mongols  (plural of mongol),English,-,-
mongrel,English,-,-
mongs  (plural of mong),English,"3,726 sightings (Recent)",-
monkey,English,-,Extremely offensive
monkeys  (plural of monkey),English,-,Extremely offensive
mook,English,-,Highly offensive
mooks  (plural of mook),English,20 sightings,Moderately offensive
moolinyan  (variant of moulignon),English,44 sightings (Recent),Extremely offensive
moon cricket,English,"3,454 sightings (Recent)",Extremely offensive
moon crickets  (plural of moon cricket),English,"1,524 sightings (Recent)",Extremely offensive
Moor,English,-,Extremely offensive
Moors  (plural of Moor),English,-,-
moss eater,English,34 sightings (Recent),Extremely offensive
moss eaters  (plural of moss eater),English,12 sightings,-
mosshead,English,547 sightings (Recent),Highly offensive
mossheads  (plural of mosshead),English,72 sightings (Recent),-
moulie,English,563 sightings (Recent),Extremely offensive
moulies  (plural of moulie),English,24 sightings (Recent),-
moulignon  (variant of moulie),English,79 sightings,Extremely offensive
moulignons  (plural of moulignon),English,2 sightings,-
moulinyan  (variant of moulie),English,163 sightings (Recent),Extremely offensive
moulinyans  (plural of moulinyan),English,51 sightings,-
moxies  (plural of moxy),English,557 sightings (Recent),-
moxy  (variant of mocky),English,-,Highly offensive
MTN,English,-,Highly offensive
MTNs  (plural of MTN),English,-,-
mud duck  (variant of mud person),English,"1,571 sightings (Recent)",Extremely offensive
mud ducks  (plural of mud duck),English,615 sightings (Recent),-
mud person,English,47 sightings (Recent),Extremely offensive
mud persons  (plural of mud person),English,3 sightings (Recent),-
mud shark,English,"1,305 sightings (Recent)",Extremely offensive
mud sharks  (plural of mud shark),English,826 sightings (Recent),-
mudblood,English,-,-
mudshit  (variant of shitskinned),English,-,Extremely offensive
mudslime,English,-,-
muk,English,1 sighting,Highly offensive
muks  (plural of muk),English,-,-
muktuk  (variant of muk),English,-,Highly offensive
muktuks  (plural of muktuk),English,-,-
mulato,English,236 sightings (Recent),Highly offensive
mulatto  (variant of mulato),English,529 sightings (Recent),Extremely offensive
mulignan  (variant of moulie),English,246 sightings,Highly offensive
mulignans  (plural of mulignan),English,73 sightings (Recent),Moderately offensive
mullatoes  (plural of mulatto),English,29 sightings (Recent),-
mung,English,-,Extremely offensive
mungs  (plural of mung),English,164 sightings (Recent),-
munt  (variant of munter),English,-,Extremely offensive
munter,English,777 sightings (Recent),Extremely offensive
munters  (plural of munter),English,"1,360 sightings (Recent)",-
munts  (plural of munt),English,400 sightings (Recent),-
musla,English,193 sightings (Recent),Extremely offensive
muslamic,English,"1,017 sightings (Recent)",Highly offensive
muslimal,English,15 sightings (Recent),Highly offensive
muslimette,English,-,Extremely offensive
muslimic,English,-,-
mussie,English,288 sightings (Recent),-
mussies  (plural of mussie),English,792 sightings (Recent),-
mutah  (variant of muttah),English,263 sightings (Recent),Extremely offensive
mutt,English,-,Highly offensive
muttah,English,183 sightings (Recent),Extremely offensive
mutts  (plural of mutt),English,-,-
muzrat  (variant of muzzrat),English,70 sightings (Recent),Extremely offensive
muzrats  (plural of muzrat),English,83 sightings (Recent),-
muzzie,English,"7,070 sightings (Recent)",Highly offensive
muzzies  (plural of muzzie),English,"4,098 sightings (Recent)",-
muzzpig,English,1 sighting,Extremely offensive
muzzpigs  (plural of muzzpig),English,-,Mildly offensive
muzzrat,English,304 sightings (Recent),Extremely offensive
muzzrats  (plural of muzzrat),English,349 sightings (Recent),-
muzzy,English,"1,054 sightings (Recent)",Highly offensive
nacho,English,-,Highly offensive
nachos  (plural of nacho),English,-,-
nafri,English,93 sightings (Recent),Highly offensive
nafris  (plural of nafri),English,104 sightings (Recent),-
nappyhead,English,293 sightings (Recent),Extremely offensive
neche  (variant of nitchie),English,-,Moderately offensive
neches  (plural of neche),English,41 sightings,-
ned,English,1 sighting,Extremely offensive
neds  (plural of ned),English,-,-
neechee  (variant of nitchie),English,131 sightings (Recent),Extremely offensive
neechees  (plural of neechee),English,3 sightings,-
neejee  (variant of nitchie),English,51 sightings (Recent),Extremely offensive
neejees  (plural of neejee),English,-,-
negro,English,172 sightings (Recent),Extremely offensive
net head,English,1 sighting,Highly offensive
net heads  (plural of net head),English,-,Highly offensive
newfie,English,158 sightings (Recent),Moderately offensive
newfies  (plural of newfie),English,307 sightings (Recent),Moderately offensive
nicca  (variant of nigger),English,"6,643 sightings (Recent)",Extremely offensive
niccas  (plural of nicca),English,"2,265 sightings (Recent)",Highly offensive
nichi  (variant of nitchie),English,-,Highly offensive
nichis  (plural of nichi),English,89 sightings,-
nichiwa  (variant of nitchie),English,119 sightings (Recent),Extremely offensive
nichiwas  (plural of nichiwa),English,-,-
nidge  (variant of nitchie),English,-,Highly offensive
nidges  (plural of nidge),English,22 sightings,-
nig  (variant of nigger),English,679 sightings (Recent),Extremely offensive
nig nog  (variant of nigger),English,"6,974 sightings (Recent)",Extremely offensive
nig nogs  (plural of nig nog),English,"5,926 sightings (Recent)",-
nigar  (variant of nigger),English,54 sightings,Extremely offensive
nigars  (plural of nigar),English,204 sightings (Recent),-
niger  (variant of nigger),English,72 sightings (Recent),Extremely offensive
nigers  (plural of niger),English,648 sightings (Recent),-
nigette  (variant of nigger),English,327 sightings (Recent),Extremely offensive
nigettes  (plural of nigette),English,321 sightings (Recent),-
nigga  (variant of nigger),English,"4,502 sightings (Recent)",Highly offensive
niggah  (variant of nigger),English,"2,903 sightings (Recent)",Extremely offensive
niggahs  (plural of niggah),English,"2,251 sightings (Recent)",Extremely offensive
niggar  (variant of nigger),English,"5,569 sightings (Recent)",Extremely offensive
niggars  (plural of niggar),English,"4,574 sightings (Recent)",-
niggas  (plural of nigga),English,"2,553 sightings (Recent)",Mildly offensive
nigger,English,"5,982 sightings (Recent)",Extremely offensive
nigger-knock,English,1 sighting,Extremely offensive
nigger-rig,English,20 sightings,Extremely offensive
niggera,English,308 sightings (Recent),Extremely offensive
niggerdick,English,48 sightings,-
niggerdicks  (plural of niggerdick),English,9 sightings,-
niggerette,English,198 sightings (Recent),Extremely offensive
niggerettes  (variant of nigger)  (plural of niggerette),English,285 sightings,-
niggerfag,English,25 sightings,Extremely offensive
niggerization  (variant of niggerize),English,115 sightings (Recent),Extremely offensive
niggerize,English,125 sightings (Recent),Extremely offensive
niggers  (plural of nigger),English,"3,678 sightings (Recent)",Extremely offensive
niggerton,English,48 sightings,-
niggertown,English,44 sightings,Extremely offensive
niggerville,English,197 sightings (Recent),Extremely offensive
niggerwool,English,-,Extremely offensive
nigglet  (variant of niglet),English,"5,830 sightings (Recent)",Extremely offensive
nigglets  (plural of nigglet),English,"5,455 sightings (Recent)",-
niggor  (variant of nigger),English,227 sightings (Recent),Extremely offensive
niggors  (plural of niggor),English,282 sightings (Recent),-
niggress  (variant of nigger),English,"3,227 sightings (Recent)",Extremely offensive
nigguh  (variant of nigger),English,"6,375 sightings (Recent)",Extremely offensive
nigguhs  (plural of nigguh),English,"5,461 sightings (Recent)",Extremely offensive
niggur  (variant of nigger),English,"7,791 sightings (Recent)",Extremely offensive
niggurs  (plural of niggur),English,"4,507 sightings (Recent)",-
niglet,English,"6,165 sightings (Recent)",Extremely offensive
niglets  (plural of niglet),English,"6,205 sightings (Recent)",Extremely offensive
niglette  (variant of niglet),English,209 sightings (Recent),Extremely offensive
nigor  (variant of nigger),English,91 sightings (Recent),Extremely offensive
nigors  (plural of nigor),English,30 sightings,-
nigra  (variant of nigger),English,187 sightings (Recent),Extremely offensive
nigras  (plural of nigra),English,666 sightings (Recent),-
nigre  (variant of nigger),English,90 sightings (Recent),Extremely offensive
nigres  (plural of nigre),English,32 sightings (Recent),-
