0,1,2,3
nigs  (plural of nig),English,999 sightings (Recent),-
ninja,English,-,Highly offensive
nip,English,-,Extremely offensive
nips  (plural of nip),English,438 sightings (Recent),-
nitchee  (variant of nitchie),English,5 sightings,Highly offensive
nitchees  (plural of nitchee),English,-,-
nitchie,English,41 sightings (Recent),Highly offensive
nitchies  (plural of nitchie),English,2 sightings,-
nitchy  (variant of nitchie),English,34 sightings,Highly offensive
Northern monkey,English,232 sightings (Recent),Highly offensive
Northern monkeys  (plural of Northern monkey),English,491 sightings (Recent),-
ocker,English,674 sightings (Recent),Highly offensive
ockers  (plural of ocker),English,75 sightings (Recent),-
octaroon  (variant of octroon),English,"2,911 sightings (Recent)",Highly offensive
octaroons  (plural of octaroon),English,684 sightings (Recent),-
octroon,English,52 sightings (Recent),Highly offensive
octroons  (plural of octroon),English,32 sightings (Recent),-
ofay,English,"1,048 sightings (Recent)",Highly offensive
ofays  (plural of ofay),English,"1,483 sightings (Recent)",-
Okie,English,-,-
Okies  (plural of Okie),English,-,-
Orangie,English,-,Highly offensive
Orangies  (plural of Orangie),English,169 sightings (Recent),-
Oreo,English,-,Extremely offensive
Oreos  (plural of Oreo),English,-,-
Oriental,English,299 sightings (Recent),Extremely offensive
Orientals  (plural of Oriental),English,360 sightings (Recent),-
Osama,English,-,Extremely offensive
Osamas  (plural of Osama),English,217 sightings (Recent),-
oven dodger,English,190 sightings (Recent),Highly offensive
oven dodgers  (plural of oven dodger),English,336 sightings (Recent),-
paddies  (plural of paddy),English,-,-
paddy,English,326 sightings (Recent),Extremely offensive
Paedo,English,-,Extremely offensive
paki,English,339 sightings (Recent),Extremely offensive
Pakiland  (variant of paki),English,"1,803 sightings (Recent)",Extremely offensive
pakis  (plural of paki),English,401 sightings (Recent),Extremely offensive
paleface,English,537 sightings (Recent),Moderately offensive
palefaces  (plural of paleface),English,450 sightings (Recent),Moderately offensive
Palestinkian,English,5 sightings,Mildly offensive
pancake,English,-,Highly offensive
pancake face  (variant of pancake),English,-,Highly offensive
pancake faces  (plural of pancake face),English,308 sightings (Recent),-
pancakes  (plural of pancake),English,-,-
papisher  (variant of papist),English,-,-
papishers  (plural of papisher),English,-,-
papist,English,"1,442 sightings (Recent)",Extremely offensive
papists  (plural of papist),English,"2,963 sightings (Recent)",Extremely offensive
papoose,English,-,Moderately offensive
papooses  (plural of papoose),English,146 sightings (Recent),Moderately offensive
pavement ape,English,644 sightings (Recent),Extremely offensive
pavement apes  (plural of pavement ape),English,663 sightings (Recent),-
peckerwood,English,"1,638 sightings (Recent)",Highly offensive
peckerwoods  (plural of peckerwood),English,"1,310 sightings (Recent)",-
Pepper,English,-,Highly offensive
Peppers  (plural of Pepper),English,-,-
Pepsi  (variant of Pepper),English,-,Highly offensive
Pepsis  (plural of Pepsi),English,-,-
picaninnies  (plural of pickaninny),English,801 sightings (Recent),-
picaninny,English,641 sightings (Recent),-
picaninnys  (variant of picaninnies),English,15 sightings (Recent),Extremely offensive
piccaninnies  (plural of piccaninny),English,477 sightings (Recent),-
piccaninny  (variant of picaninny),English,494 sightings (Recent),-
piccaninnys  (plural of piccaninny),English,22 sightings (Recent),-
pickaninnies  (variant of pickaninnys),English,910 sightings (Recent),Extremely offensive
pickaninny,English,"2,182 sightings (Recent)",Extremely offensive
pickaninnys  (plural of pickaninny),English,79 sightings,-
pickinninies  (plural of pickinniny),English,25 sightings,-
pickinniny  (variant of picaninny),English,10 sightings,-
pickinninys  (plural of pickinniny),English,2 sightings,-
piker  (variant of pikey),English,606 sightings (Recent),Highly offensive
pikers  (plural of piker),English,801 sightings (Recent),-
pikey,English,"3,343 sightings (Recent)",Highly offensive
pikeys  (plural of pikey),English,"1,219 sightings (Recent)",-
piky  (variant of pikey),English,-,Extremely offensive
pineapple nigger,English,21 sightings,Extremely offensive
pineapple niggers  (plural of pineapple nigger),English,-,Extremely offensive
ping pang,English,88 sightings (Recent),Highly offensive
ping pangs  (plural of ping pang),English,-,-
pinto,English,-,Highly offensive
pintos  (plural of pinto),English,-,-
pislam  (variant of pisslam),English,-,-
pisslam,English,"2,166 sightings (Recent)",Extremely offensive
plastic paddies  (plural of plastic paddy),English,"1,987 sightings (Recent)",-
plastic paddy,English,"4,571 sightings (Recent)",Extremely offensive
pogue,English,183 sightings (Recent),Moderately offensive
pogues  (plural of pogue),English,-,Mildly offensive
pohm  (variant of pom),English,47 sightings,Highly offensive
pohms  (plural of pohm),English,24 sightings,-
pointy head,English,-,Highly offensive
pointy heads  (plural of pointy head),English,-,-
polack,English,598 sightings (Recent),Highly offensive
polacks  (plural of polack),English,"1,575 sightings (Recent)",-
pollo,English,-,Extremely offensive
pollos  (plural of pollo),English,-,-
pom,English,-,Extremely offensive
pommie  (variant of pom),English,"1,177 sightings (Recent)",Extremely offensive
pommie grant  (variant of pom),English,-,Extremely offensive
pommie grants  (plural of pommie grant),English,-,-
pommies  (plural of pommie),English,667 sightings (Recent),-
pommy  (variant of pom),English,942 sightings (Recent),Highly offensive
poms  (plural of pom),English,-,-
popolo,English,14 sightings,Extremely offensive
popolos  (plural of popolo),English,32 sightings (Recent),-
poppadom,English,618 sightings (Recent),Extremely offensive
poppadoms  (plural of poppadom),English,750 sightings (Recent),-
porch monkey,English,"2,848 sightings (Recent)",Extremely offensive
porch monkeys  (plural of porch monkey),English,"3,284 sightings (Recent)",Extremely offensive
porki  (variant of paki),English,158 sightings (Recent),Highly offensive
porkistani,English,-,Extremely offensive
powderburn,English,-,Extremely offensive
powderburns  (plural of powderburn),English,-,-
prairie nigger,English,110 sightings,Extremely offensive
prairie niggers  (plural of prairie nigger),English,13 sightings,Extremely offensive
prod,English,-,Highly offensive
proddy dog  (variant of prod),English,97 sightings (Recent),Highly offensive
proddy dogs  (plural of proddy dog),English,71 sightings (Recent),-
proddywhoddies  (plural of proddywhoddy),English,1 sighting (Recent),-
proddywhoddy  (variant of prod),English,1 sighting,Highly offensive
proddywoddies  (plural of proddywoddy),English,1 sighting,Highly offensive
proddywoddy  (variant of prod),English,2 sightings,Highly offensive
prods  (plural of prod),English,-,-
property,English,-,Extremely offensive
Punjab,English,-,Moderately offensive
pussies  (plural of pussy),English,-,Moderately offensive
pussy,English,17 sightings,Moderately offensive
quadroon,English,"4,676 sightings (Recent)",Highly offensive
quadroons  (plural of quadroon),English,"1,979 sightings (Recent)",Highly offensive
quashie,English,20 sightings (Recent),Highly offensive
quashies  (plural of quashie),English,2 sightings,-
queen,English,-,Highly offensive
queens  (plural of queen),English,-,Highly offensive
queer,English,"1,369 sightings (Recent)",Mildly offensive
queers  (plural of queer),English,"1,103 sightings (Recent)",-
QuranoVirus,English,1 sighting,-
race traitor,English,"2,846 sightings (Recent)",Extremely offensive
race traitors  (plural of race traitor),English,"1,307 sightings (Recent)",Highly offensive
raghead,English,"3,012 sightings (Recent)",Extremely offensive
ragheads  (plural of raghead),English,"2,405 sightings (Recent)",-
rapefugees,English,-,-
red bone  (variant of yellow bone),English,678 sightings (Recent),Moderately offensive
red bones  (plural of red bone),English,146 sightings (Recent),Moderately offensive
red nigger,English,57 sightings (Recent),Extremely offensive
red niggers  (plural of red nigger),English,16 sightings,Extremely offensive
redlegs,English,68 sightings (Recent),Extremely offensive
redneck,English,"1,675 sightings (Recent)",Highly offensive
rednecks  (plural of redneck),English,"3,689 sightings (Recent)",Moderately offensive
redskin,English,276 sightings (Recent),Extremely offensive
redskins  (plural of redskin),English,155 sightings (Recent),Extremely offensive
reffo,English,160 sightings (Recent),Extremely offensive
retard,English,"1,302 sightings (Recent)",Highly offensive
retarded  (variant of retard),English,"4,003 sightings (Recent)",Moderately offensive
retardeds  (plural of retarded),English,"1,235 sightings (Recent)",-
retards  (plural of retard),English,"2,589 sightings (Recent)",Moderately offensive
Rhine monkey,English,1 sighting,Moderately offensive
Rhine monkeys  (plural of Rhine monkey),English,-,Mildly offensive
Rhineland bastard  (variant of Rhine monkey),English,8 sightings,Extremely offensive
Rhineland bastards  (plural of Rhineland bastard),English,117 sightings (Recent),Extremely offensive
rice nigger,English,44 sightings,Extremely offensive
rice niggers  (plural of rice nigger),English,22 sightings,-
ricepicker,English,12 sightings,Highly offensive
ricepickers  (plural of ricepicker),English,7 sightings,-
Rico Suave,English,247 sightings (Recent),Moderately offensive
roofucker,English,20 sightings (Recent),Extremely offensive
roofuckers  (plural of roofucker),English,1 sighting,Extremely offensive
roundeye,English,149 sightings (Recent),Highly offensive
roundeyes  (plural of roundeye),English,198 sightings (Recent),-
rube,English,437 sightings (Recent),Moderately offensive
rubes  (plural of rube),English,954 sightings (Recent),Mildly offensive
Russellite,English,3 sightings,Extremely offensive
Russellites  (plural of Russellite ),English,6 sightings,-
sambo,English,123 sightings (Recent),Extremely offensive
sambos  (plural of sambo),English,"2,435 sightings (Recent)",-
sand ape  (variant of sand nigger),English,33 sightings (Recent),Extremely offensive
sand apes  (plural of sand ape),English,70 sightings (Recent),-
sand monkey  (variant of sand nigger),English,"1,471 sightings (Recent)",Highly offensive
sand monkeys  (plural of sand monkey),English,"1,151 sightings (Recent)",-
sand nigger,English,"4,699 sightings",Extremely offensive
sand niggerette  (variant of sand nigger),English,1 sighting,Extremely offensive
sand niggerettes  (plural of sand niggerette),English,-,-
sand niggers  (plural of sand nigger),English,866 sightings (Recent),-
sand niglet,English,-,Extremely offensive
sand niglets  (plural of sand niglet),English,6 sightings,-
sand nip,English,1 sighting,Extremely offensive
sand nips  (plural of sand nip),English,2 sightings,-
sandnigger  (variant of sand nigger),English,-,-
saracen,English,-,Highly offensive
sawney,English,76 sightings (Recent),Mildly offensive
sawnies  (plural of sawney),English,1 sighting,-
scag,English,-,Highly offensive
scags  (plural of scag),English,264 sightings (Recent),-
scallie,English,157 sightings (Recent),Extremely offensive
scallies  (plural of scallie),English,635 sightings (Recent),-
scally  (variant of scallie),English,428 sightings (Recent),Extremely offensive
scanger  (variant of spide),English,125 sightings (Recent),Highly offensive
scangers  (plural of scanger),English,37 sightings (Recent),-
scobe,English,234 sightings (Recent),Highly offensive
scobes  (plural of scobe),English,134 sightings (Recent),-
scuffer,English,204 sightings (Recent),Extremely offensive
scuffers  (plural of scuffer),English,-,-
semihole,English,13 sightings,Extremely offensive
semiholes  (plural of semihole),English,9 sightings,-
seminigger  (variant of sand nigger),English,-,-
seminiggers  (plural of seminigger),English,-,-
senga,English,58 sightings (Recent),Mildly offensive
sengas  (plural of senga),English,171 sightings (Recent),-
seppo,English,-,Highly offensive
seppos  (plural of seppo),English,"1,134 sightings (Recent)",-
septic  (variant of seppo),English,-,Highly offensive
septics  (plural of septic),English,-,-
shade,English,-,Highly offensive
shades  (plural of shade),English,-,-
shant,English,-,Highly offensive
shants  (plural of shant),English,158 sightings (Recent),Mildly offensive
shanty Irish,English,709 sightings (Recent),Moderately offensive
sheboon,English,"2,416 sightings (Recent)",Extremely offensive
sheboons  (plural of sheboon),English,"1,580 sightings (Recent)",-
sheenies  (plural of sheeny),English,220 sightings (Recent),-
sheeny,English,179 sightings (Recent),Highly offensive
sheepfucker,English,263 sightings (Recent),Extremely offensive
sheepfuckers  (plural of sheepfucker),English,116 sightings,-
sheister  (variant of shyster),English,5 sightings,Extremely offensive
sheisters  (plural of sheister),English,4 sightings,-
shekelnose,English,-,Extremely offensive
Shelta,English,-,Highly offensive
Sheltas  (plural of Shelta),English,3 sightings,-
shemale,English,"3,329 sightings (Recent)",Extremely offensive
shemales  (plural of shemale),English,176 sightings (Recent),-
shine,English,-,Extremely offensive
shiner  (variant of shine),English,-,Extremely offensive
shiners  (plural of shiner),English,-,-
shines  (plural of shine),English,-,-
shit heel,English,"1,096 sightings (Recent)",Highly offensive
shit heels  (plural of shit heel),English,-,-
shit kicker,English,-,Highly offensive
shit kickers  (plural of shit kicker),English,-,-
shitskinned,English,-,Extremely offensive
Shy  (variant of Shylock),English,-,Highly offensive
Shylock,English,684 sightings (Recent),Highly offensive
shyster,English,17 sightings,Highly offensive
shysters  (plural of shyster),English,6 sightings,-
sideways cooter  (variant of sideways vagina),English,1 sighting,Extremely offensive
sideways cooters  (plural of sideways cooter),English,3 sightings (Recent),-
sideways pussies  (plural of sideways pussy),English,62 sightings (Recent),Extremely offensive
sideways pussy  (variant of sideways vagina),English,447 sightings (Recent),Extremely offensive
sideways vagina,English,507 sightings (Recent),Extremely offensive
sideways vaginas  (plural of sideways vagina),English,124 sightings,Extremely offensive
skag  (variant of scag),English,-,Moderately offensive
skags  (plural of skag),English,-,Moderately offensive
skanger  (variant of spide),English,414 sightings (Recent),Highly offensive
skangers  (plural of skanger),English,156 sightings (Recent),-
skank,English,1 sighting,Moderately offensive
skeet,English,-,-
skeets  (plural of skeet),English,-,-
skinnie  (variant of skinny),English,-,Extremely offensive
skinnies  (plural of skinny),English,-,-
skinny,English,-,Extremely offensive
Skip,English,-,Mildly offensive
Skippies  (plural of Skippy),English,-,-
Skippy  (variant of Skip),English,-,Mildly offensive
Skips  (plural of Skip),English,-,-
slag,English,-,Highly offensive
slags  (plural of slag),English,633 sightings (Recent),Highly offensive
slant,English,-,Extremely offensive
slant eye  (variant of slant),English,"1,568 sightings (Recent)",Extremely offensive
slant eyes  (plural of slant eye),English,956 sightings (Recent),Extremely offensive
slants  (plural of slant),English,-,-
slave,English,-,Extremely offensive
slaves  (plural of slave),English,-,Extremely offensive
slit,English,-,Highly offensive
slits  (plural of slit),English,-,-
Sloane Ranger,English,172 sightings (Recent),-
Sloane Rangers  (plural of Sloane Ranger),English,42 sightings,-
slope,English,-,Highly offensive
slopehead  (variant of slope),English,72 sightings,Highly offensive
slopeheads  (plural of slopehead),English,22 sightings,-
slopes  (plural of slope),English,-,Highly offensive
slopey  (variant of slope),English,730 sightings (Recent),Extremely offensive
slopies  (plural of slopey),English,-,-
slopy  (variant of slope),English,-,Extremely offensive
slut,English,572 sightings (Recent),Highly offensive
sluts  (plural of slut),English,608 sightings (Recent),Extremely offensive
smick,English,601 sightings (Recent),Mildly offensive
smicks  (plural of smick),English,235 sightings (Recent),-
smoke jumper,English,"1,161 sightings (Recent)",Highly offensive
smoke jumpers  (plural of smoke jumper),English,853 sightings (Recent),-
smoked Irish,English,54 sightings (Recent),Highly offensive
smoked Irishman  (variant of smoked Irish),English,7 sightings,Extremely offensive
smoked Irishmen  (plural of smoked Irishman),English,2 sightings,-
snout,English,-,Extremely offensive
snouts  (plural of snout),English,-,-
snowflake,English,-,Highly offensive
snowflakes  (plural of snowflake),English,-,-
sole,English,-,Highly offensive
soles  (plural of sole),English,-,-
sooties  (plural of sooty),English,134 sightings (Recent),-
sooty,English,1 sighting,Highly offensive
soup taker,English,369 sightings (Recent),Highly offensive
soup takers  (plural of soup taker ),English,231 sightings (Recent),-
Southern fairies  (plural of Southern fairy),English,347 sightings (Recent),-
Southern fairy,English,320 sightings (Recent),Highly offensive
spade,English,-,Extremely offensive
spades  (plural of spade),English,-,-
spaz,English,885 sightings (Recent),Moderately offensive
spear chucker,English,"2,349 sightings (Recent)",Extremely offensive
spear chuckers  (plural of spear chucker),English,816 sightings (Recent),-
sperg,English,"2,421 sightings (Recent)",Moderately offensive
spergs  (plural of sperg),English,"1,292 sightings (Recent)",Mildly offensive
spic,English,761 sightings (Recent),Highly offensive
spice nigger  (variant of nigger),English,10 sightings,Extremely offensive
spice niggers  (plural of spice nigger),English,5 sightings,Extremely offensive
spicish  (variant of spic),English,30 sightings,Extremely offensive
spick  (variant of spic),English,545 sightings (Recent),Extremely offensive
spickaboo,English,-,Extremely offensive
spickaboos  (plural of spickaboo),English,-,-
spickish  (variant of spick),English,6 sightings,Extremely offensive
spicks  (plural of spick),English,543 sightings (Recent),Highly offensive
spiclet  (variant of spic),English,14 sightings (Recent),Highly offensive
spics  (plural of spic),English,"1,565 sightings (Recent)",Highly offensive
spicspeak  (variant of spic),English,1 sighting,Extremely offensive
spide,English,154 sightings (Recent),Extremely offensive
spides  (plural of spide),English,242 sightings (Recent),-
spig  (variant of spic),English,194 sightings (Recent),Extremely offensive
spigger  (variant of spickaboo),English,181 sightings (Recent),Extremely offensive
spiggers  (plural of spigger),English,30 sightings,-
spiggotties  (plural of spigotty),English,-,-
spigotty  (variant of spic),English,35 sightings,Extremely offensive
spigs  (plural of spig),English,23 sightings,-
spik  (variant of spic),English,176 sightings (Recent),Extremely offensive
spike,English,-,Highly offensive
spikes  (plural of spike),English,-,-
spiks  (plural of spik),English,192 sightings (Recent),-
spink,English,42 sightings (Recent),Extremely offensive
spinks,English,16 sightings,Extremely offensive
spiv,English,"1,285 sightings (Recent)",Moderately offensive
spivs  (plural of spiv),English,"1,132 sightings (Recent)",Mildly offensive
spook,English,2 sightings,Extremely offensive
spooks  (plural of spook),English,-,-
squarehead,English,-,Highly offensive
squareheads  (plural of squarehead),English,-,-
squaw,English,516 sightings (Recent),Extremely offensive
squaws  (plural of squaw),English,558 sightings (Recent),Extremely offensive
squinties  (plural of squinty),English,27 sightings,-
squinty,English,-,Extremely offensive
steek  (variant of spide),English,66 sightings (Recent),Extremely offensive
steeks  (plural of steek),English,93 sightings (Recent),-
stovepipe,English,-,Extremely offensive
stovepipes  (plural of stovepipe),English,-,-
stump jumper,English,135 sightings (Recent),Highly offensive
stump jumpers  (plural of stump jumper),English,176 sightings (Recent),-
sub human,English,-,Extremely offensive
sucker fish,English,-,Highly offensive
suntan,English,-,Highly offensive
suntans  (plural of suntan),English,-,-
suspook,English,24 sightings,Extremely offensive
taco nigger,English,29 sightings,Extremely offensive
taco niggers  (plural of taco nigger),English,9 sightings,-
Taffy,English,-,Highly offensive
Taffys  (plural of Taffy),English,-,-
tan,English,-,Highly offensive
tans  (plural of tan),English,-,Highly offensive
taqiyya,English,226 sightings (Recent),Extremely offensive
tar babies  (plural of tar baby),English,867 sightings (Recent),-
tar baby,English,603 sightings (Recent),Extremely offensive
tard  (variant of retard),English,108 sightings (Recent),Highly offensive
tarded  (variant of retarded),English,"1,305 sightings (Recent)",Extremely offensive
tards  (plural of tard),English,"1,149 sightings (Recent)",Moderately offensive
teapot,English,-,Highly offensive
teapots  (plural of teapot),English,-,-
tenker  (variant of tinker),English,-,Highly offensive
tenkers  (plural of tenker),English,1 sighting,-
the goyim know,English,97 sightings (Recent),-
thicklips,English,40 sightings (Recent),Extremely offensive
three fifth,English,-,Extremely offensive
three fifths  (variant of three fifth),English,-,Extremely offensive
tiger,English,-,Extremely offensive
tigers  (plural of tiger),English,-,-
timber nigger,English,23 sightings,Extremely offensive
timber niggers  (plural of timber nigger),English,7 sightings,-
tincker  (variant of tinker),English,8 sightings,Extremely offensive
tinckers  (plural of tincker),English,-,Extremely offensive
tinkar  (variant of tinker),English,10 sightings,Moderately offensive
tinkard  (variant of tinker),English,1 sighting,Extremely offensive
tinkards  (plural of tinkard),English,-,-
tinkars  (plural of tinkar),English,-,Mildly offensive
tinker,English,-,Highly offensive
tinkere  (variant of tinker),English,10 sightings (Recent),Extremely offensive
tinkeres  (plural of tinkere),English,29 sightings (Recent),-
tinkers  (plural of tinker),English,-,Highly offensive
toad,English,-,Highly offensive
toff,English,-,-
toffs  (plural of toff),English,-,-
Tommies  (plural of Tommy),English,-,-
Tommy,English,-,Extremely offensive
touch of the tar brush,English,382 sightings (Recent),Extremely offensive
towel head  (variant of raghead),English,667 sightings (Recent),Extremely offensive
towel heads  (plural of towel head),English,"1,663 sightings (Recent)",-
trailer park trash  (variant of white trash),English,"4,688 sightings (Recent)",Highly offensive
trailer trash  (variant of white trash),English,"5,077 sightings (Recent)",Extremely offensive
trannies  (plural of tranny),English,"3,073 sightings (Recent)",Highly offensive
tranny,English,"3,296 sightings (Recent)",Highly offensive
trash  (variant of white trash),English,-,Moderately offensive
tree jumper  (variant of stump jumper),English,174 sightings (Recent),Moderately offensive
tree jumpers  (plural of tree jumper),English,92 sightings (Recent),Mildly offensive
tree nigger,English,19 sightings,Extremely offensive
tree niggers  (plural of tree nigger),English,20 sightings,Extremely offensive
tunnel digger,English,-,Extremely offensive
tunnel diggers  (plural of tunnel digger),English,-,-
turkroach,English,-,-
twat,English,-,Mildly offensive
twats  (plural of twat),English,"1,060 sightings (Recent)",Mildly offensive
Twinkie,English,-,Extremely offensive
Twinkies  (plural of Twinkie),English,-,-
tyncar  (variant of tinker),English,-,Extremely offensive
tyncars  (plural of tyncar),English,-,-
tynekere  (variant of tinker),English,1 sighting,Extremely offensive
tynekeres  (plural of tynekere),English,-,-
tynkard  (variant of tinker),English,-,Extremely offensive
tynkards  (plural of tynkard),English,-,-
tynkare  (variant of tinker),English,-,Extremely offensive
tynkares  (plural of tynkare),English,-,-
tynker  (variant of tinker),English,318 sightings (Recent),Extremely offensive
tynkere  (variant of tinker),English,-,Extremely offensive
tynkeres  (plural of tynkere),English,-,-
tynkers  (plural of tynker),English,-,-
Ubangee  (variant of Ubangi),English,2 sightings,Highly offensive
Ubangees  (plural of Ubangee),English,-,-
Ubangi,English,-,Highly offensive
Ubangis  (plural of Ubangi),English,69 sightings (Recent),-
uncircumcised baboon,English,43 sightings (Recent),Extremely offensive
uncircumcised baboons  (plural of uncircumcised baboon),English,7 sightings,-
Uncle Tom,English,"1,875 sightings (Recent)",Highly offensive
Uncle Toms  (plural of Uncle Tom),English,"1,952 sightings (Recent)",Extremely offensive
Velcro head,English,-,Extremely offensive
Velcro heads  (plural of Velcro head),English,11 sightings (Recent),-
velvet mafia  (variant of gay mafia),English,39 sightings (Recent),Mildly offensive
virago,English,47 sightings (Recent),-
wagon burner,English,474 sightings (Recent),Extremely offensive
wagon burners  (plural of wagon burner),English,159 sightings (Recent),-
wapanese,English,92 sightings (Recent),Highly offensive
WASP,English,-,Mildly offensive
WASPs  (plural of WASP),English,-,Mildly offensive
WASPy  (variant of WASP),English,338 sightings (Recent),Mildly offensive
wegro,English,116 sightings (Recent),Extremely offensive
wegroes  (plural of wegro),English,16 sightings (Recent),-
wetback,English,"4,158 sightings (Recent)",Extremely offensive
wetbacks  (plural of wetback),English,"2,987 sightings (Recent)",-
wexican,English,894 sightings (Recent),Highly offensive
wexicans  (plural of wexican),English,190 sightings (Recent),-
whigga,English,"2,857 sightings (Recent)",Highly offensive
whiggas  (plural of whigga),English,655 sightings (Recent),Moderately offensive
whigger  (variant of white nigger),English,"2,302 sightings (Recent)",Extremely offensive
whiggers  (plural of whigger),English,632 sightings (Recent),-
white chocolate,English,-,Moderately offensive
white nigger,English,161 sightings,Extremely offensive
white niggers  (plural of white nigger),English,137 sightings,-
white trash,English,"1,534 sightings (Recent)",Moderately offensive
whitey,English,872 sightings (Recent),Extremely offensive
whitie  (variant of whitey),English,8 sightings,-
whities  (plural of whitey),English,-,Highly offensive
whore,English,964 sightings (Recent),Highly offensive
whores  (plural of whore),English,"1,393 sightings (Recent)",-
whoriental,English,10 sightings,-
whorientals  (plural of whoriental),English,5 sightings,-
WIC,English,-,Extremely offensive
WICs  (plural of WIC),English,5 sightings,-
wigga  (variant of white nigger),English,"7,129 sightings (Recent)",Extremely offensive
wiggas  (plural of wigga),English,"5,621 sightings (Recent)",-
wigger  (variant of white nigger),English,"5,661 sightings (Recent)",Extremely offensive
wiggerette  (variant of white nigger),English,8 sightings,Extremely offensive
wiggerettes  (plural of wiggerette),English,8 sightings,-
wiggers  (plural of wigger),English,"1,003 sightings (Recent)",-
wink,English,-,Highly offensive
winks  (plural of wink),English,-,-
wog,English,371 sightings (Recent),Highly offensive
wogs  (plural of wog),English,"3,275 sightings (Recent)",-
wop,English,458 sightings (Recent),Highly offensive
wops  (plural of wop),English,"2,885 sightings (Recent)",Moderately offensive
wopspeak  (variant of wop),English,-,Extremely offensive
Yank,English,-,Highly offensive
Yankee  (variant of Yank),English,-,Highly offensive
Yankees  (plural of Yankee),English,-,-
Yanks  (plural of Yank),English,-,-
yard ape,English,428 sightings (Recent),Extremely offensive
yard apes  (plural of yard ape),English,375 sightings (Recent),-
yardie,English,"1,895 sightings (Recent)",Highly offensive
yardies  (plural of yardie),English,-,-
yellow,English,-,Extremely offensive
yellow bone,English,"2,164 sightings (Recent)",Moderately offensive
yellow bones  (plural of yellow bone),English,"1,828 sightings (Recent)",-
yellow cab  (transliteration of イエローキャブ),English,-,-
yellow cabs  (plural of yellow cab),English,-,-
yellow invader,English,26 sightings,Extremely offensive
yellow invaders  (plural of yellow invader),English,10 sightings,-
yellowhammer,English,-,-
yellows  (plural of yellow),English,-,Extremely offensive
yid,English,-,Extremely offensive
yids  (plural of yid),English,"2,883 sightings (Recent)",-
yob,English,-,Highly offensive
yobbo  (variant of yob),English,"1,254 sightings (Recent)",Highly offensive
yobbos  (plural of yobbo),English,"1,478 sightings (Recent)",-
yobs  (plural of yob),English,711 sightings (Recent),-
yokel,English,"1,538 sightings (Recent)",Highly offensive
yokels  (plural of yokel),English,"1,431 sightings (Recent)",Moderately offensive
zebra,English,-,Moderately offensive
zebras  (plural of zebra),English,-,Moderately offensive
zhid  (variant of yid),English,93 sightings (Recent),-
zhidovka  (variant of yid),English,4 sightings (Recent),-
zhyd  (variant of yid),English,20 sightings (Recent),-
zhydovka  (variant of yid),English,1 sighting,-
zigabo  (variant of jigaboo),English,20 sightings,Highly offensive
zigabos  (plural of zigabo),English,1 sighting,Moderately offensive
Zio,English,64 sightings (Recent),Highly offensive
ziojew,English,70 sightings (Recent),Extremely offensive
ziojews  (plural of ziojew),English,51 sightings (Recent),-
Zionazi,English,"2,944 sightings (Recent)",Extremely offensive
Zionazis  (plural of Zionazi),English,"1,171 sightings (Recent)",-
zip,English,-,Extremely offensive
zipperhead  (variant of zip),English,"1,012 sightings (Recent)",Extremely offensive
zipperheads  (plural of zipperhead),English,298 sightings (Recent),-
zippohead  (variant of zip),English,-,Extremely offensive
zippoheads  (plural of zippohead),English,-,-
zips  (plural of zip),English,-,-
ZOG,English,686 sightings (Recent),Extremely offensive
ZOG lover,English,5 sightings,Extremely offensive
ZOG lovers  (plural of ZOG lover),English,3 sightings,-
